time,Company,Year,Month,open,high,low,close,volume
11/1/1999,Amazon.com Inc.,1999,11,68.06,71.88,66.31,69.13,12824100
11/1/1999,Microsoft Corporation,1999,11,93.25,94.19,92.12,92.37,26630600
11/1/1999,Apple Inc.,1999,11,80,80.69,77.37,77.62,2487300
11/2/1999,Microsoft Corporation,1999,11,92.75,94.5,91.94,92.56,23174500
11/2/1999,Apple Inc.,1999,11,78,81.69,77.31,80.25,3564600
11/2/1999,Amazon.com Inc.,1999,11,69.75,70,65.06,66.44,13243200
11/3/1999,Amazon.com Inc.,1999,11,68.19,68.5,65,65.81,10772100
11/3/1999,Microsoft Corporation,1999,11,92.94,93.5,91.5,92,22258500
11/3/1999,Apple Inc.,1999,11,81.62,83.25,81,81.5,2932700
11/4/1999,Microsoft Corporation,1999,11,92.31,92.75,90.31,91.75,27119700
11/4/1999,Apple Inc.,1999,11,82.06,85.37,80.62,83.62,3384700
11/4/1999,Amazon.com Inc.,1999,11,67.19,67.19,61,63.06,16759200
11/5/1999,Microsoft Corporation,1999,11,91.81,92.87,90.5,91.56,35083700
11/5/1999,Apple Inc.,1999,11,84.62,88.37,84,88.31,3721500
11/5/1999,Amazon.com Inc.,1999,11,64.75,65.5,62.25,64.94,11091400
11/8/1999,Amazon.com Inc.,1999,11,64.81,80,63.5,78,32339400
11/8/1999,Microsoft Corporation,1999,11,84.81,90.75,84.37,89.94,121909600
11/8/1999,Apple Inc.,1999,11,87.75,97.73,86.75,96.37,8490400
11/9/1999,Apple Inc.,1999,11,94.37,94.5,88,89.62,7224800
11/9/1999,Amazon.com Inc.,1999,11,80.88,83.06,70,70.81,26477100
11/9/1999,Microsoft Corporation,1999,11,89.75,89.87,86.44,88.87,54884900
11/10/1999,Microsoft Corporation,1999,11,88.12,89.12,86.44,87.12,34692700
11/10/1999,Amazon.com Inc.,1999,11,71.56,75,70.13,72,11506700
11/10/1999,Apple Inc.,1999,11,88.25,93.25,88.12,91.44,5159800
11/11/1999,Apple Inc.,1999,11,91.59,92.62,89.87,92.25,2409600
11/11/1999,Amazon.com Inc.,1999,11,74.75,75,71.38,73,9293900
11/11/1999,Microsoft Corporation,1999,11,88.25,90.44,88.25,89.62,34637300
11/12/1999,Amazon.com Inc.,1999,11,73.75,75,70.81,74.94,10319600
11/12/1999,Apple Inc.,1999,11,91.94,92,87.37,90.62,2491600
11/12/1999,Microsoft Corporation,1999,11,89.75,90,87.06,89.19,24707100
11/15/1999,Microsoft Corporation,1999,11,88.25,88.5,86.94,87,23540200
11/15/1999,Apple Inc.,1999,11,89.62,92.87,88.5,89.44,2320600
11/15/1999,Amazon.com Inc.,1999,11,75.63,76,73.31,73.5,6437200
11/16/1999,Microsoft Corporation,1999,11,86.94,87.75,85.87,87.31,29582600
11/16/1999,Amazon.com Inc.,1999,11,74.25,79.63,73.75,78.94,15238700
11/16/1999,Apple Inc.,1999,11,90,91.75,88.5,91.19,2088000
11/17/1999,Amazon.com Inc.,1999,11,77.94,80,75.44,76.5,6657400
11/17/1999,Apple Inc.,1999,11,90.69,94.75,90,90.25,3255100
11/17/1999,Microsoft Corporation,1999,11,86.44,87.06,85,85,33409500
11/18/1999,Apple Inc.,1999,11,91.06,91.12,88.44,89.62,3257000
11/18/1999,Microsoft Corporation,1999,11,84.94,85.81,84.5,84.94,32246600
11/18/1999,Amazon.com Inc.,1999,11,76.75,78.19,75.25,77.94,5810400
11/19/1999,Microsoft Corporation,1999,11,84.44,86.56,84.37,86,29113000
11/19/1999,Amazon.com Inc.,1999,11,77.88,78.13,76.06,77.94,5760600
11/19/1999,Apple Inc.,1999,11,89.5,92.87,88.06,92.44,2790300
11/22/1999,Amazon.com Inc.,1999,11,77.88,82.5,76,80.5,10708400
11/22/1999,Microsoft Corporation,1999,11,89.62,90.37,88.44,89.81,45298300
11/22/1999,Apple Inc.,1999,11,91.75,91.75,89.25,90.62,1806800
11/23/1999,Amazon.com Inc.,1999,11,80.38,85.63,76.25,81.75,18332500
11/23/1999,Microsoft Corporation,1999,11,89.25,91.37,88.37,89.62,35393700
11/23/1999,Apple Inc.,1999,11,91.75,95.25,88.5,92.81,4851000
11/24/1999,Amazon.com Inc.,1999,11,84.25,87.75,83.25,87.25,14483100
11/24/1999,Microsoft Corporation,1999,11,89.56,92.25,89.5,91.69,26885500
11/24/1999,Apple Inc.,1999,11,93,95,91.69,94.69,1920600
11/26/1999,Microsoft Corporation,1999,11,91.62,93.37,91,91.12,14257100
11/26/1999,Amazon.com Inc.,1999,11,91.06,95.13,90.5,93.13,11496000
11/26/1999,Apple Inc.,1999,11,94.75,95.5,94.12,95.06,1179200
11/29/1999,Apple Inc.,1999,11,94.25,99.75,93.25,94.56,4144300
11/29/1999,Amazon.com Inc.,1999,11,95.5,96.88,90.13,90.44,18053700
11/29/1999,Microsoft Corporation,1999,11,90.12,92.06,89.5,90.19,25730100
11/30/1999,Amazon.com Inc.,1999,11,88.27,88.88,83.81,85.06,13465500
11/30/1999,Microsoft Corporation,1999,11,89.75,92.87,89.56,91.05,32072800
11/30/1999,Apple Inc.,1999,11,98.12,103.75,97.37,97.87,7528400
12/1/1999,Apple Inc.,1999,12,101,104.5,100.06,103.06,5522900
12/1/1999,Amazon.com Inc.,1999,12,87.25,87.63,81.97,85,10663600
12/1/1999,Microsoft Corporation,1999,12,91.06,93.94,90.87,93.19,24432100
12/2/1999,Amazon.com Inc.,1999,12,86,91.31,85.63,89.06,9538700
12/2/1999,Microsoft Corporation,1999,12,93.06,95.25,92.87,94.81,27736900
12/2/1999,Apple Inc.,1999,12,103.12,110.62,101.75,110.19,5065700
12/3/1999,Amazon.com Inc.,1999,12,92.5,93.38,86.06,86.56,11151200
12/3/1999,Apple Inc.,1999,12,112.19,115.56,111.87,115,5785000
12/3/1999,Microsoft Corporation,1999,12,95.81,97.12,95.73,96.12,32050300
12/6/1999,Microsoft Corporation,1999,12,95.25,97.19,94.75,95.44,24549100
12/6/1999,Amazon.com Inc.,1999,12,86.88,89.88,84.69,87.38,9199200
12/6/1999,Apple Inc.,1999,12,114.56,117.31,111.44,116,4167700
12/7/1999,Microsoft Corporation,1999,12,94.75,94.87,92.87,93,28429600
12/7/1999,Amazon.com Inc.,1999,12,88,88,84.38,86.06,6727100
12/7/1999,Apple Inc.,1999,12,116.56,118,114,117.81,3973400
12/8/1999,Apple Inc.,1999,12,116.25,117.87,109.5,110.06,3681700
12/8/1999,Amazon.com Inc.,1999,12,86.81,93,86.75,88,12867200
12/8/1999,Microsoft Corporation,1999,12,93.12,94.31,91.69,91.75,20477900
12/9/1999,Apple Inc.,1999,12,111,111,100.87,105.25,7635700
12/9/1999,Microsoft Corporation,1999,12,92,93.31,91.44,92.75,23129100
12/9/1999,Amazon.com Inc.,1999,12,95.25,113,93.44,103.6,41364600
12/10/1999,Microsoft Corporation,1999,12,93.37,94.12,92.25,93.87,18418000
12/10/1999,Amazon.com Inc.,1999,12,111.4,112,104.4,106.7,14929000
12/10/1999,Apple Inc.,1999,12,105.31,109.25,99,103,5694300
12/13/1999,Microsoft Corporation,1999,12,93.61,96.94,92.75,96.62,26345800
12/13/1999,Amazon.com Inc.,1999,12,106.6,106.6,101.5,102.5,8653700
12/13/1999,Apple Inc.,1999,12,102.39,102.5,98.94,99,4731800
12/14/1999,Microsoft Corporation,1999,12,96.19,101.12,95.31,98.69,72058100
12/14/1999,Amazon.com Inc.,1999,12,103.8,104,95,95.63,10107900
12/14/1999,Apple Inc.,1999,12,98.37,99.75,94.75,94.87,3891700
12/15/1999,Apple Inc.,1999,12,93.25,97.25,91.06,97,5562300
12/15/1999,Microsoft Corporation,1999,12,98.56,108.75,98.5,108.44,77785800
12/15/1999,Amazon.com Inc.,1999,12,92.88,99.44,91,96.5,10133500
12/16/1999,Apple Inc.,1999,12,98,98.37,94,98.31,4141300
12/16/1999,Microsoft Corporation,1999,12,109.25,115,108.94,113.69,64330100
12/16/1999,Amazon.com Inc.,1999,12,98.25,98.75,93.5,94.88,7004400
12/17/1999,Apple Inc.,1999,12,100.87,102,98.5,100,4419700
12/17/1999,Microsoft Corporation,1999,12,116.62,117.12,113.62,115.25,52949400
12/17/1999,Amazon.com Inc.,1999,12,97.19,97.63,93.81,94.06,5955900
12/20/1999,Amazon.com Inc.,1999,12,97.75,101.6,95.06,97,10566600
12/20/1999,Apple Inc.,1999,12,99.56,99.62,96.62,98,2535600
12/20/1999,Microsoft Corporation,1999,12,114.81,115,111.19,112.75,19716900
12/21/1999,Microsoft Corporation,1999,12,112.37,116.62,110.62,115.87,28723000
12/21/1999,Apple Inc.,1999,12,98.19,103.06,97.94,102.5,2746400
12/21/1999,Amazon.com Inc.,1999,12,96.56,100.4,96.56,99.88,9509500
12/22/1999,Microsoft Corporation,1999,12,116.3,118,115.12,117.56,19282600
12/22/1999,Apple Inc.,1999,12,102.87,104.56,98.75,99.94,2920300
12/22/1999,Amazon.com Inc.,1999,12,100.6,100.6,95.5,97.69,5921000
12/23/1999,Amazon.com Inc.,1999,12,98,99,89.06,90,12914600
12/23/1999,Microsoft Corporation,1999,12,117.25,119.25,116.75,117.44,15514200
12/23/1999,Apple Inc.,1999,12,101.81,104.25,101.06,103.5,2049400
12/27/1999,Microsoft Corporation,1999,12,118.44,119.25,116.12,119.12,16101100
12/27/1999,Apple Inc.,1999,12,104.37,104.44,99.25,99.31,1503500
12/27/1999,Amazon.com Inc.,1999,12,87.75,88.25,80.13,81.13,16523800
12/28/1999,Microsoft Corporation,1999,12,118.75,118.81,117.06,117.5,12295500
12/28/1999,Apple Inc.,1999,12,99.12,99.62,95,98.19,2210500
12/28/1999,Amazon.com Inc.,1999,12,83.06,86.5,81.56,82.31,10304300
12/29/1999,Microsoft Corporation,1999,12,116.94,118.37,116.81,117.94,8724600
12/29/1999,Apple Inc.,1999,12,96.81,102.19,95.5,100.69,2540200
12/29/1999,Amazon.com Inc.,1999,12,83.44,85.38,82.63,83.5,5913000
12/30/1999,Apple Inc.,1999,12,102.19,104.12,99.62,100.31,1849500
12/30/1999,Microsoft Corporation,1999,12,117.87,119.94,117.12,117.62,11180000
12/30/1999,Amazon.com Inc.,1999,12,84.63,85.13,78.5,79.06,9256600
12/31/1999,Microsoft Corporation,1999,12,117.5,117.75,116.25,116.75,6258800
12/31/1999,Apple Inc.,1999,12,100.94,102.87,99.5,102.81,1462600
12/31/1999,Amazon.com Inc.,1999,12,79.31,79.38,76,76.13,7270700
1/3/2000,Microsoft Corporation,2000,1,117.37,118.62,112,116.56,26614200
1/3/2000,Amazon.com Inc.,2000,1,81.5,89.56,80,89.38,16117600
1/3/2000,Apple Inc.,2000,1,104.87,112.5,101.69,111.94,4783900
1/4/2000,Apple Inc.,2000,1,108.25,110.62,101.19,102.5,4574800
1/4/2000,Microsoft Corporation,2000,1,113.56,117.12,112.25,112.62,27059500
1/4/2000,Amazon.com Inc.,2000,1,85.38,91.5,81.75,81.94,17487400
1/5/2000,Amazon.com Inc.,2000,1,70.75,75.13,69.63,71.75,38457400
1/5/2000,Apple Inc.,2000,1,103.75,110.56,103,104,6949300
1/5/2000,Microsoft Corporation,2000,1,111.12,116.37,109.37,113.81,32029800
1/6/2000,Microsoft Corporation,2000,1,112.19,113.87,108.37,110,27488300
1/6/2000,Apple Inc.,2000,1,106.12,107,95,95,6856900
1/6/2000,Amazon.com Inc.,2000,1,71.31,72.69,64,65.56,18752000
1/7/2000,Microsoft Corporation,2000,1,108.62,112.25,107.31,111.44,31006800
1/7/2000,Apple Inc.,2000,1,96.5,101,95.5,99.5,4113700
1/7/2000,Amazon.com Inc.,2000,1,67,70.5,66.19,69.56,10505400
1/10/2000,Amazon.com Inc.,2000,1,72.56,72.63,65.56,69.19,14757900
1/10/2000,Microsoft Corporation,2000,1,113.44,113.69,111.37,112.25,22481800
1/10/2000,Apple Inc.,2000,1,102,102.25,94.75,97.75,4509500
1/11/2000,Microsoft Corporation,2000,1,111.5,114.25,108.69,109.37,23371800
1/11/2000,Apple Inc.,2000,1,95.94,99.37,90.5,92.75,3942400
1/11/2000,Amazon.com Inc.,2000,1,66.88,70,65,66.75,10532700
1/12/2000,Amazon.com Inc.,2000,1,67.88,68,63,63.56,10804500
1/12/2000,Apple Inc.,2000,1,95,95.5,86.5,87.19,8714900
1/12/2000,Microsoft Corporation,2000,1,108.5,108.87,104.44,105.81,33266200
1/13/2000,Amazon.com Inc.,2000,1,64.94,67.19,63.13,65.94,10448100
1/13/2000,Apple Inc.,2000,1,94.48,98.75,92.5,96.75,9220400
1/13/2000,Microsoft Corporation,2000,1,104.37,108.62,101.5,107.81,41572000
1/14/2000,Microsoft Corporation,2000,1,107.19,113.94,105.75,112.25,36708200
1/14/2000,Amazon.com Inc.,2000,1,66.75,68.5,64,64.25,6853600
1/14/2000,Apple Inc.,2000,1,100,102.25,99.37,100.44,3485500
1/18/2000,Amazon.com Inc.,2000,1,63.44,65.19,63,64.13,5384900
1/18/2000,Apple Inc.,2000,1,101,106,100.44,103.94,4099800
1/18/2000,Microsoft Corporation,2000,1,111.81,116.5,111.75,115.31,40741800
1/19/2000,Microsoft Corporation,2000,1,110.5,111.5,106,107,48784100
1/19/2000,Apple Inc.,2000,1,105.62,108.75,103.37,106.56,5336100
1/19/2000,Amazon.com Inc.,2000,1,64.13,67.5,63,66.81,8245500
1/20/2000,Microsoft Corporation,2000,1,107.06,109.69,105.87,106,28174900
1/20/2000,Apple Inc.,2000,1,115.5,121.5,113.5,113.5,16349400
1/20/2000,Amazon.com Inc.,2000,1,66.94,67,63.94,64.75,5978000
1/21/2000,Amazon.com Inc.,2000,1,64.63,64.63,60,62.06,11461900
1/21/2000,Microsoft Corporation,2000,1,107,107.25,103.25,103.75,34208100
1/21/2000,Apple Inc.,2000,1,114.25,114.25,110.19,111.31,4427900
1/24/2000,Amazon.com Inc.,2000,1,67.56,73.38,67.5,70.13,29170200
1/24/2000,Apple Inc.,2000,1,108.44,112.75,105.12,106.25,3936400
1/24/2000,Microsoft Corporation,2000,1,103.8,105.69,100.81,101.25,31798800
1/25/2000,Apple Inc.,2000,1,105,113.12,102.37,112.25,4438800
1/25/2000,Microsoft Corporation,2000,1,101,103.87,99.56,102.81,29911600
1/25/2000,Amazon.com Inc.,2000,1,70,71.25,66,69.25,9434100
1/26/2000,Microsoft Corporation,2000,1,102.44,103.5,99.12,99.37,24682500
1/26/2000,Amazon.com Inc.,2000,1,68.63,70,64.75,64.81,6558000
1/26/2000,Apple Inc.,2000,1,110,114.19,109.75,110.19,3278200
1/27/2000,Apple Inc.,2000,1,108.81,113,107,110,3037000
1/27/2000,Microsoft Corporation,2000,1,99.89,101.19,97.25,98.75,31827400
1/27/2000,Amazon.com Inc.,2000,1,65.19,67.75,64.63,66.94,6784000
1/28/2000,Microsoft Corporation,2000,1,98.12,100.25,97.25,98.25,29112700
1/28/2000,Apple Inc.,2000,1,108.19,110.87,100.62,101.62,3779900
1/28/2000,Amazon.com Inc.,2000,1,65,66.44,60,61.69,13777900
1/31/2000,Apple Inc.,2000,1,101,103.87,94.5,103.75,6265000
1/31/2000,Amazon.com Inc.,2000,1,60.38,64.75,58.44,64.56,10697900
1/31/2000,Microsoft Corporation,2000,1,97.62,98.19,94.87,97.87,36597100
2/1/2000,Apple Inc.,2000,2,104,105,100,100.25,2839600
2/1/2000,Microsoft Corporation,2000,2,98.5,103.25,97.69,102.94,35098300
2/1/2000,Amazon.com Inc.,2000,2,67.5,70.63,64.38,67.44,13404600
2/2/2000,Microsoft Corporation,2000,2,102.44,103.94,100.5,100.81,24957800
2/2/2000,Amazon.com Inc.,2000,2,67.94,72.25,67.75,69.44,14025900
2/2/2000,Apple Inc.,2000,2,100.75,102.12,97,98.81,4144600
2/3/2000,Microsoft Corporation,2000,2,102.06,104.19,100.12,103.62,24593000
2/3/2000,Apple Inc.,2000,2,100.31,104.25,100.25,103.31,4242800
2/3/2000,Amazon.com Inc.,2000,2,81.13,85.94,77.38,84.19,43750000
2/4/2000,Microsoft Corporation,2000,2,104.37,108,104.14,106.56,27682700
2/4/2000,Amazon.com Inc.,2000,2,82.75,82.75,78,78.56,11023000
2/4/2000,Apple Inc.,2000,2,103.94,110,103.62,108,3797500
2/7/2000,Amazon.com Inc.,2000,2,76.19,76.88,73.13,75,10129000
2/7/2000,Apple Inc.,2000,2,108,114.25,105.94,114.06,3938100
2/7/2000,Microsoft Corporation,2000,2,106.81,106.87,104.25,106.62,20002900
2/8/2000,Apple Inc.,2000,2,114,116.12,111.25,114.87,3648600
2/8/2000,Microsoft Corporation,2000,2,106.44,110,106.44,109.94,28114500
2/8/2000,Amazon.com Inc.,2000,2,74,84,73.44,83.13,19472800
2/9/2000,Apple Inc.,2000,2,114.12,117.12,112.44,112.62,2672900
2/9/2000,Microsoft Corporation,2000,2,109.44,109.44,103.87,104,27545000
2/9/2000,Amazon.com Inc.,2000,2,80.55,83.73,80.02,80.25,9580400
2/10/2000,Microsoft Corporation,2000,2,103.89,106.56,102.5,106,27263900
2/10/2000,Apple Inc.,2000,2,112.87,113.87,110,113.5,2705200
2/10/2000,Amazon.com Inc.,2000,2,78.5,79.88,75.5,76.19,9979600
2/11/2000,Apple Inc.,2000,2,113.62,114.12,108.25,108.75,1895100
2/11/2000,Microsoft Corporation,2000,2,104.87,104.87,99.12,99.94,57779500
2/11/2000,Amazon.com Inc.,2000,2,77.13,79.13,75.5,76.19,8309000
2/14/2000,Apple Inc.,2000,2,109.31,115.87,108.62,115.81,3281600
2/14/2000,Microsoft Corporation,2000,2,101.23,101.75,99.06,99.62,40514300
2/14/2000,Amazon.com Inc.,2000,2,75.69,75.75,73.56,74.44,5169700
2/15/2000,Amazon.com Inc.,2000,2,73.44,76.19,70.63,73.81,6424500
2/15/2000,Microsoft Corporation,2000,2,99.75,100,98.12,98.56,35513800
2/15/2000,Apple Inc.,2000,2,115.25,119.94,115.19,119,4337000
2/16/2000,Amazon.com Inc.,2000,2,72.75,73.44,70.63,70.69,4260200
2/16/2000,Apple Inc.,2000,2,117.75,118.12,112.12,114.12,3377200
2/16/2000,Microsoft Corporation,2000,2,99.25,100.19,97.12,97.62,32601300
2/17/2000,Apple Inc.,2000,2,115.19,115.5,113.12,114.87,2584800
2/17/2000,Amazon.com Inc.,2000,2,71.25,71.31,68,69,6129600
2/17/2000,Microsoft Corporation,2000,2,98.5,99.69,97.14,99.62,40171700
2/18/2000,Amazon.com Inc.,2000,2,68.44,69,63.88,64.75,8726400
2/18/2000,Microsoft Corporation,2000,2,100,100.06,94.87,95.06,39531500
